training_task,checkpoint_step,run_name,sweep,same_task_success,heldout_success,method
1,75,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_1_seed3_spatial_norm_group_zscore,success_gate_rps32,0.8125,0.4625,OPD
4,100,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.709375,0.36,OPD
4,125,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.734375,0.3625,OPD
4,150,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.74375,0.385,OPD
4,175,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.76875,0.35,OPD
4,200,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.765625,0.340625,OPD
4,25,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.575,0.38312500000000005,OPD
4,50,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.628125,0.3675,OPD
4,75,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,success_gate_rps32,0.6875,0.361875,OPD
1,100,opd_sftteacher_adv1_group_zscore_success_gate_lam2p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.85,0.433125,OPD
1,125,opd_sftteacher_adv1_group_zscore_success_gate_lam2p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.878125,0.393125,OPD
1,150,opd_sftteacher_adv1_group_zscore_success_gate_lam2p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.91875,0.379375,OPD
1,175,opd_sftteacher_adv1_group_zscore_success_gate_lam2p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.946875,0.38875,OPD
1,200,opd_sftteacher_adv1_group_zscore_success_gate_lam2p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.890625,0.385625,OPD
1,25,opd_sftteacher_adv1_group_zscore_success_gate_lam2p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.31875,0.3875,OPD
1,50,opd_sftteacher_adv1_group_zscore_success_gate_lam2p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.6625,0.415625,OPD
1,75,opd_sftteacher_adv1_group_zscore_success_gate_lam2p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.80625,0.42125,OPD
1,100,opd_sftteacher_adv1_group_zscore_success_gate_lam5p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.759375,0.36875,OPD
1,125,opd_sftteacher_adv1_group_zscore_success_gate_lam5p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.8375,0.344375,OPD
1,175,opd_sftteacher_adv1_group_zscore_success_gate_lam5p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.85625,0.333125,OPD
1,200,opd_sftteacher_adv1_group_zscore_success_gate_lam5p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.7125,0.274375,OPD
1,25,opd_sftteacher_adv1_group_zscore_success_gate_lam5p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.359375,0.384375,OPD
1,50,opd_sftteacher_adv1_group_zscore_success_gate_lam5p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.565625,0.38,OPD
1,75,opd_sftteacher_adv1_group_zscore_success_gate_lam5p0_thr0p0_rps32_task_1_seed2_spatial_norm_group_zscore,success_gate_rps32,0.68125,0.34562499999999996,OPD
1,100,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,steps200,0.1875,0.180625,OPD
1,125,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,steps200,0.071875,0.140625,OPD
1,150,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,steps200,0.071875,0.10625,OPD
1,175,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,steps200,0.15,0.1325,OPD
1,200,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,steps200,0.13125,0.12562500000000001,OPD
1,25,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,steps200,0.3875,0.378125,OPD
1,50,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,steps200,0.621875,0.3325,OPD
1,75,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_1_seed2_spatial_norm_group_zscore,steps200,0.771875,0.265,OPD
4,100,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,steps200,0.534375,0.3375,OPD
4,125,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,steps200,0.471875,0.29375,OPD
4,150,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,steps200,0.459375,0.268125,OPD
4,175,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,steps200,0.521875,0.26437499999999997,OPD
4,200,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,steps200,0.503125,0.234375,OPD
4,50,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,steps200,0.5,0.36125,OPD
4,75,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,steps200,0.609375,0.373125,OPD
